,area,perimeter,physiological_length,physiological_width,aspect_ratio,rectangularity,circularity,mean_r,mean_g,mean_b,stddev_r,stddev_g,stddev_b,contrast,correlation,inverse_difference_moments,entropy
0,232549.0,3144.089858174324,1180,841,1.4030915576694412,4.267401708887159,42.50846503865698,8.865353645833334,11.580898958333334,8.3989640625,27.80021474071994,32.90227908367763,27.40335675662745,25.91062214389406,0.9963794699180637,0.8974215804190255,1.9316672701602953
0,474562.5,3473.489791870117,1219,909,1.341034103410341,2.3349316475701305,25.423693052497637,23.752019270833333,30.0818265625,16.240280208333335,43.42902016551977,53.24297210799585,33.112201864214434,19.731936962454203,0.9977564634496131,0.822875419756233,3.369692694290921
0,419871.0,3987.5153954029083,1411,1160,1.2163793103448275,3.8982449371354537,37.869438538444456,17.470908333333334,23.9446484375,13.222305729166667,36.48265563261895,46.32977200705138,31.868379859200246,22.33337961839182,0.9977272014931179,0.8468605850479858,3.0181290369615508
0,435572.0,3009.0419677495956,985,807,1.2205700123915737,1.824945129622657,20.78722590909966,19.343993229166667,25.105472395833335,14.664245833333334,37.98888032772379,47.36595656924438,31.541930547784112,20.13915447226734,0.9978197149786194,0.8407514639795701,3.097287488994387
0,238858.5,4008.5418570041656,1494,1154,1.2946273830155979,7.217980519847525,67.27166008056822,11.221183854166666,14.514542708333334,8.780794270833333,32.63093830206986,39.28453531036484,29.519376235406227,23.323630657727072,0.9962230747733756,0.8930478703031387,2.0026923915664376
0,262129.0,3625.633138179779,1354,1022,1.324853228962818,5.279034368574251,50.147887691431904,13.534938020833334,17.3377484375,8.595165104166666,35.936337360342755,43.756763185026216,28.645107363991773,18.680454411361495,0.9968419013122415,0.8899645691618473,2.113751748057292
0,299902.5,4144.174324274063,1551,1149,1.349869451697128,5.942261234901343,57.265880844515756,12.245638020833333,16.009052604166666,10.539146875,32.39225545597622,38.875953804327324,30.393885998072765,23.901044986882354,0.9971230614100635,0.8851244620137004,2.3207091401057625
0,331583.0,4322.500231027603,1600,1200,1.3333333333333333,5.790405418854404,56.347907604532445,15.74196875,20.710508854166665,11.070985416666666,37.02711889164062,45.83789334416069,30.88985070691701,21.533440173846973,0.9971544632946983,0.8666798481803385,2.517343718835012
0,251918.0,3705.456520676613,1373,1064,1.2904135338345866,5.798998086678998,54.50348139721984,14.205625,16.341672395833335,10.338369270833333,37.93803423051917,42.458322641579066,31.052132181339655,23.522788394356105,0.9956713141113565,0.884850627392948,2.1190586578561588
0,193397.0,2851.746717572212,926,950,0.9747368421052631,4.548674488228876,42.05059717153775,15.427613020833334,16.280896354166668,8.307525520833334,45.7226872902492,47.98101292057141,28.559232060168103,9.925562408563533,0.9960950039100404,0.9239725860006955,1.5533058563275102
0,282086.0,4015.9905689954758,1498,1130,1.3256637168141594,6.000794084073651,57.17469229334531,12.938875,15.227991666666666,11.757764583333334,33.81641165274204,38.08490399762436,32.618737060462344,32.89431950658473,0.9956051267384829,0.8653107108463365,2.387009725726517
0,226219.5,4275.051516056061,1600,1200,1.3333333333333333,8.487331993926253,80.78908080396793,10.818905208333334,13.646123958333334,8.760461458333333,32.54762989786043,38.2072303350051,30.158858867040305,20.402567825873934,0.9965793595983996,0.9005650525464648,1.9043938543753056
0,329387.0,3984.392587661743,1459,1145,1.274235807860262,5.071708962405924,48.19675425142413,21.606877083333334,25.2634609375,10.002001041666666,47.75957120695694,54.93698683208405,30.053582342556652,15.506080821946508,0.9970775246628039,0.8752181077869977,2.4655618440418325
0,278162.5,3874.2920858860016,1427,1124,1.269572953736655,5.766226576191974,53.961763957251264,11.308203645833334,13.748861458333334,10.260242708333333,30.997036208996846,35.29261583614748,30.166050640293623,28.272961872623814,0.9965382824806305,0.8747196821675268,2.2882979633647125
0,227440.5,4012.5418634414673,1505,1145,1.314410480349345,7.576596956126987,70.78990859530437,11.790928125,14.321632291666667,9.0056921875,34.97473950631251,40.0465546604069,30.489832037962554,23.276335073592747,0.995963057165943,0.8945670415068495,2.0432894540756585
0,403669.5,4011.0717449188232,1470,1116,1.3172043010752688,4.064017717464411,39.85611135566629,16.573821875,19.435884895833333,15.787771875,35.494247381875425,39.708118668752775,34.86460300299275,50.62310866349455,0.9952097600037882,0.8074078751212732,3.274023417876582
0,222181.5,3329.969144821167,1203,995,1.2090452261306532,5.38741974466821,49.908270965228944,10.513570833333333,12.250344270833333,9.521286458333334,31.35861315424333,35.00369712818767,30.137931336109055,19.502871540877386,0.9968021394189733,0.9039590604409339,1.8748876294706882
0,321507.5,4127.605800032616,1529,1151,1.3284100781928758,5.47383498052145,52.991390995429,14.834763541666666,18.451114583333332,11.119406770833333,35.62890022562916,42.0520131157955,30.73507005174348,26.65489139402746,0.9966109197821558,0.8626189852522486,2.4569568531121497
0,325497.5,3354.2736243009567,1183,951,1.2439537329127235,3.456349127105431,34.56601524337691,11.890294791666667,15.6809765625,11.186240625,30.446000732454102,36.54041695769437,29.832443728340472,28.77184876497691,0.9969360139550203,0.8597642489820387,2.5773100559954725
0,245126.0,4031.5540566444397,1468,1200,1.2233333333333334,7.186508163148748,66.30642245884255,10.392828645833333,13.590600520833334,9.02498125,30.933281509174645,36.83159045014608,29.33118835492603,25.11326281223252,0.9963950922152831,0.8931788171351946,2.016043451935217
0,299517.5,3908.5174787044525,1430,1151,1.2423979148566464,5.495271561761833,51.00372726581322,11.574479166666666,15.5167046875,10.216766145833333,31.08984776585008,37.775215738343775,29.882972218035032,23.899836138426323,0.9972395044364264,0.8682811304489215,2.437923618269141
0,227472.5,3223.3762270212173,1198,918,1.3050108932461875,4.8347118882502285,45.67652925485735,8.919532291666666,11.799496875,7.700844270833334,27.99851584515237,33.57693749927469,26.824500541244113,24.35863560129454,0.99646900768996,0.898274539501893,1.890690162543193
0,304769.0,3837.3387686014175,1394,1123,1.2413178984861977,5.136552602134731,48.315835354026966,12.878930208333333,15.055958854166667,12.149254166666667,32.5711917449896,36.42598128914954,32.32486596495128,31.738739672607355,0.9962541770263272,0.8640526844521955,2.4393653207641686
0,260099.5,3769.5225360393524,1397,1094,1.276965265082267,5.875897493074766,54.630247846337845,12.093644270833334,14.4984234375,10.74535625,33.072762789991394,37.803007136418636,31.83048904120469,35.04600877349976,0.9949067980783404,0.8765291017900841,2.210806922263778
0,256904.0,4034.132692217827,1494,1146,1.3036649214659686,6.66445053405163,63.347501706554404,12.677519791666667,14.4990484375,11.448794791666666,34.66767768840162,38.14338271480209,33.038123006258076,23.133040995348384,0.9965491589245241,0.8871383132540781,2.1795000949960412
0,330365.0,4202.902239203453,1568,1164,1.3470790378006874,5.524653035279161,53.4693058656377,14.001203645833334,18.533621354166666,11.114119270833333,34.058533165181046,41.827082357760474,30.92112816338031,28.12045784860977,0.9966667441755048,0.8538123005500292,2.574739638989152
0,368623.5,3807.6503875255585,1385,1070,1.294392523364486,4.020226599769141,39.33064895109383,15.904478645833333,19.046915625,13.925761458333334,35.52652914466501,40.58182500577239,33.09840744049878,37.03858342306919,0.9960426968082627,0.8272837460003742,2.966674343559252
0,477708.0,3296.1445574760437,1162,829,1.4016887816646562,2.0164996190141258,22.743117016627192,18.495680729166665,24.411852083333333,16.3483859375,35.519579475770456,44.139274092861974,32.987305365236836,24.846975224341804,0.9977852322725176,0.8103207429303619,3.491050304357511
0,245685.0,3128.1487389802933,1136,870,1.3057471264367817,4.022712009280176,39.828701520988254,10.053541666666666,12.426703645833333,9.577927604166666,30.016709338965363,34.222728338578314,29.2368371414985,19.781548730604975,0.997281776826965,0.8936314431521235,2.0540358874251496
0,469716.5,4093.130617380142,1478,1142,1.2942206654991244,3.5933930360121478,35.667723511809236,17.7065140625,22.564236458333333,14.872094270833333,35.46142822173586,41.786979739636045,32.67467267464634,48.418180323000826,0.9960033456315285,0.7850577523747791,3.680726092958891
0,466213.5,3041.2013458013535,1002,787,1.273189326556544,1.6914439414560067,19.838347936522563,21.050503125,27.40915625,15.001851041666667,39.46985023482309,49.30705524986335,31.641835435047785,20.0395494865464,0.9979053565736502,0.8280375777155592,3.2968496447178217
0,202194.5,3820.3997274637222,1401,1150,1.2182608695652173,7.968317634752676,72.18521808261295,8.569146875,10.778678125,7.930435416666667,28.989289652266596,33.20250095629313,28.738123839429967,21.322512964374887,0.9965649648869667,0.9129029859100275,1.7239014716097196
0,397703.0,3096.6887165308,1043,843,1.2372479240806642,2.2108181230717396,24.112166634622252,15.841282291666667,21.22418125,13.293302604166668,34.355932717010106,42.96538748729973,30.821074400939057,22.442121688021146,0.9976812801354792,0.8428542282381293,3.025386325919702
0,204643.5,2931.9548691511154,1029,912,1.1282894736842106,4.585769887633861,42.00651061352515,12.462778125,15.099903645833333,7.221559375,36.666792068214704,43.22702058116027,27.044017437349847,11.187409823563534,0.9972176871264071,0.9227412028769111,1.6574317305625366
0,292610.0,4283.838322401047,1600,1200,1.3333333333333333,6.5616349407060595,62.71580182656716,12.185996875,14.711084375,11.0336546875,32.25412268474358,36.627044320806135,31.42255824787626,31.219921165510296,0.9962401855996846,0.8684667007721818,2.3753933104382794
0,357892.5,4370.0565757751465,1600,1200,1.3333333333333333,5.364739411974266,53.36070042114768,14.318257291666667,18.819619270833332,12.488684895833334,34.04893260081194,41.10005237198665,32.12591910309209,30.553253822238776,0.9967560389249507,0.8510254324964517,2.7678886886911784
0,321702.5,4057.581402540207,1543,1085,1.4221198156682027,5.204047217537942,51.177615462236545,13.0550484375,15.436734895833334,12.310002083333334,32.613775853137525,36.46733256493534,32.20304181025961,39.149099683818584,0.9957101594953264,0.8492455820039465,2.6269763149179477
0,466666.0,3496.016704440117,1269,877,1.4469783352337515,2.384816978309969,26.19032198129784,18.866293229166665,25.217265104166668,15.8839171875,36.4420075985385,45.80616125474102,32.827108292433294,22.36369314389397,0.9979108053604826,0.8161224268095475,3.38089823055133
0,276080.5,4081.463652253151,1562,1092,1.4304029304029304,6.178284956742689,60.33872564220809,13.416276041666666,17.251141666666665,10.3117890625,35.192481806707924,42.587117718526066,30.83035788420247,22.9396481174194,0.996533864264564,0.8836253731786268,2.237965160675529
0,493850.0,3296.2866928577423,1075,917,1.1723009814612868,1.9961020552799433,22.00163199658,25.025975520833335,31.41548125,15.992474479166667,44.565043683378995,54.22377332942531,32.460608004354626,17.823332890494832,0.9980059228975127,0.8239272320489478,3.477269988560865
0,302823.5,3884.149940609932,1420,1133,1.2533097969991174,5.312863763875657,49.81984806707583,12.6980453125,14.938352604166667,11.9288953125,32.40808324020717,36.30506859004338,32.138293728991194,33.02586293141342,0.9961353703827519,0.8636466340579041,2.4560047297780048
0,326321.0,3841.3732573986053,1399,1096,1.2764598540145986,4.698759810125613,45.21973303176066,20.954802083333334,25.163771354166666,10.103013020833334,47.33827262443145,55.36908093163894,30.419064613550706,13.546491406803241,0.9975003325347828,0.8701609443042826,2.6157517970076154
0,342658.5,4012.7773616313934,1476,1146,1.287958115183246,4.936390020968399,46.992507566633854,30.027425,32.07801875,11.847621354166666,63.53072516142126,67.5862871057533,32.52360822058023,10.040700282490812,0.9968172958444115,0.8835126824214735,2.4818778642915444
0,233844.0,4086.701233148575,1544,1134,1.3615520282186948,7.487453173910812,71.41995077495288,10.288788020833334,12.8518921875,8.9530890625,31.05371663075437,35.974017186205046,29.506364406849162,23.374803161043754,0.996479615268765,0.8992290865369704,1.9254300895983438
0,291545.5,3883.1205047369003,1413,1143,1.236220472440945,5.53964647027651,51.71962816887299,11.726048958333333,15.462422395833334,10.2224265625,31.624485351439905,38.17194682462501,30.142227989900267,30.708477585835634,0.9962406472682888,0.8720508123683232,2.3958453229469963
0,329506.0,3386.41279065609,1111,1112,0.9991007194244604,3.749345990664813,34.802982612514384,16.8816734375,20.9898640625,10.670749479166666,38.52464298411825,46.34069184529154,29.253893256403174,19.6666704451785,0.9971989841944185,0.8699032149565971,2.4420223739596394
0,405322.5,4094.409840941429,1498,1149,1.3037423846823324,4.246500009251892,41.36013161272325,14.880597395833334,20.608193229166666,12.7179046875,33.16029441712813,41.542396133550476,31.245601571215833,37.253707630942195,0.9965262551818663,0.8266415309140209,3.0292190311072
